Code Link,,,,,,,,,Patterns Used
https://github.com/JuanJose-Herrera/GildedRose-Refactoring-Kata/pull/1/commits/0d2b61d332684ba09c95552429aadc22cb56593c,,,,,,,,,Abstract Factory
https://github.com/KelvinChan730/BankingSystem/commit/e80ba512030be20fffc6db7bf451e66028d745ea,,,,,,,,,Abstract Factory
https://github.com/chiemeliecoder/sql_musicmarketplaceFactoryPattern/commit/dd0d8f7c2c9d6dfc3d8df32d3c75b4201925e53e#diff-846fc8387236daf395fcd2b3b34ccdf0c0fedf5daa7bb2de6470daa6e5134d1c,,,,,,,,,Abstract Factory
https://github.com/alphamen01/PageObjectModel/commit/27dc935ab85dea7839252db08a644e63a794b499#diff-bd0a6449e20ddc276ea143ae5a884ef18ef78431bae00c67084f2643a2543746,,,,,,,,,Abstract Factory
https://github.com/dhamu-ram/code-jam/commit/3c43af5e579050c08ec7ab9106c3648dc41cf375#diff-3189807983b88984031bd9afc22bd288c6c15c4b679f507c2bab3b9f7f6b32a5,,,,,,,,,Abstract Factory
https://github.com/Qeroney/thewhite-assigment/commit/67a3483189f80e469247d98fbff3970564ce409a#diff-7ab4af3f138a626359c76e2289baa44b28d22cd3b21d6951867994dce48c953a,,,,,,,,,Abstract Factory
https://github.com/tmsnvk/habitat-simulation/commit/7bcbb41d26c671b067268bcc4b9ae6c5d0ed1ae4,,,,,,,,,Abstract Factory
https://github.com/hitanox/projet-genie-logiciel/commit/ef2b3d87642ae3fb58317c8c2b19930fb1afb3a5,,,,,,,,,Abstract Factory
