Code,Cyclomatic Complexity Before,Cyclomatic Complexity After,Cyclomatic Complexity Change,Halstead Effort Before,Halstead Effort After,Halstead Effort Change,Halstead Difficulty Before,Halstead Difficulty After,Halstead Difficulty Change,Halstead Vocabulary Before,Halstead Vocabulary After,Halstead Vocabulary Change,Number of loops Before,Number of loops After,Number of loops Change,DIT Before,DIT After,DIT Change,LCOM Before,LCOM After,LCOM Change,CBO Before,CBO After,CBO Change,LOC Before,LOC After,LOC Change
Code1,2,1,-49.97501249,517.66,94.48,-81.74848018,3.67,3.13,-14.70988831,9.33,7.8,-16.39695638,0,0,0,0,0,0,1.33,1,-24.79338843,0.67,0.8,19.37406855,9,5.8,-35.55160538
Code2,1.4,1,-28.55103498,444.5,44.2,-90.05604037,5.62,1.3,-76.8546522,10.5,5,-52.37596419,0,0,0,1,0,-99.9000999,1,1,0,0,0.8,80000,12.5,7,-43.99648028
Code3,17,1,-94.11211105,71060,714.37,-98.99469323,64,6.61,-89.6704739,32,11.89,-62.84178619,0,0,0,1,0,-99.9000999,1,0.89,-10.98901099,0,3.78,378000,39,11.33,-70.9468988
Code4,2,1,-49.97501249,624,171.27,-72.55276834,6,3.53,-41.1598067,16,8.67,-45.8096369,0,0,0,1,1,0,1,1,0,0,1,100000,19,8.33,-56.15493921
Code5,3,1,-66.64445185,200,193.52,-3.2399838,3,4.33,44.31856048,12,8.67,-27.74768769,0,0,0,0,1,100000,1,1,0,0,1,100000,17,9,-47.05605553
Code6,1.5,1,-33.31112592,166.65,134.47,-19.30981512,2.98,3.33,11.7410265,8.75,8.2,-6.284996,0,0,0,0,0,0,1.25,1,-19.98401279,2.5,3.6,43.98240704,8.75,7.2,-17.71226146
Code7,1.38,1.33,-3.620564808,20471,5477.82,-73.24106916,19.87,11.83,-40.46097328,31.87,21.36,-32.97668727,0.08,0.05,-37.03703704,0.25,0.17,-31.87250996,2.4,2.21,-7.913369429,7.32,4.86,-33.60196694,55.74,34.31,-38.44566836
