Code,Cyclomatic Complexity Before,Cyclomatic Complexity After,Cyclomatic Complexity Change,Halstead Effort Before,Halstead Effort After,Halstead Effort Change,Halstead Difficulty Before,Halstead Difficulty After,Halstead Difficulty Change,Halstead Vocabulary Before,Halstead Vocabulary After,Halstead Vocabulary Change,Number of loops Before,Number of loops After,Number of loops Change,DIT Before,DIT After,DIT Change,LCOM Before,LCOM After,LCOM Change,CBO Before,CBO After,CBO Change,LOC Before,LOC After,LOC Change
Code 1,2.03,2.04,0.49,68447.69,69821.01,2.006378857,31.36,31.75,1.243582794,54.71,55.57,1.571895962,0.2,0.2,0,1.07,1.07,0,2.21,2.14,-3.17,4.79,4.79,0,125,126.07,0.8559931521
Code 2,1.56,1.54,-1.28,3871.79,4913.23,26.8981461,12.2,13.34,9.343496435,25.33,26.83,5.921598042,0.01,0.05,363.6363636,1,1,0,2.17,2.17,0.00,2.67,3,12.35492325,33.83,36.33,7.389672194
Code 3,1.5,1.48,-1.33,20228.86,21156.43,4.585379276,17.44,17.23,-1.2040594,26.21,26.18,-0.1144557628,1.18,0.17,-85.52074513,2,1.9,-4.997501249,1.85,1.77,-4.32,6.95,7,0.719320961,30.85,30.75,-0.3241386017
Code 4,1.2,1.2,0.00,11482.11,12199.41,6.24710909,12.13,12.55,3.46220427,28.35,29.82,5.185002293,0.02,0.02,0,1.2,1.21,0.8326394671,2.7,2.82,4.44,5.65,6.05,7.078393205,36,37.82,5.055415127
Code 5,1.71,1.69,-1.17,24698.57,25757.68,4.288142824,21.65,22.11,2.124613182,40.44,41.5,2.621102347,0.03,0.04,32.25806452,1.27,1.27,0,2.56,2.61,1.95,3.83,4,4.437483686,55.06,57.28,4.031891902
Code 6,1.56,1.52,-2.56,3042.75,3304.66,8.60767115,10.55,10.34,-1.99033267,18.8,18.18,-3.297696931,0.01,0.05,363.6363636,1,1,0,1.2,1.13,-5.83,2.5,2.67,6.797281088,28.08,28.93,3.026957729
Code 7,1.5,1.49,-0.67,46585.83,47796.57,2.598944731,23.75,23.74,-0.04210349038,46.27,45.19,-2.334075339,0.02,0.03,47.61904762,1.13,1.12,-0.884173298,2.33,2.25,-3.43,2.8,3.12,11.42449125,71.67,69.75,-2.678907787
Code 8,1.75,1.89,8.00,463.26,841.17,81.57604461,5.7,5.44,-4.560603403,15.33,11.43,-25.43865371,0.01,0.12,1000,1,1.43,42.95704296,1,0.57,-42.96,2,3.43,71.46426787,14,11.57,-17.35590315
Code 9,1.25,1.25,0.00,2508.53,2455.13,-2.128735902,8.95,8.95,0,16.77,16.64,-0.7751475762,0.02,0.03,47.61904762,1.68,1.67,-0.5948839976,1.66,1.64,-1.20,4.57,4.53,-0.8750820389,19.72,19.56,-0.8113178845
