Code,Cyclomatic Complexity Before,Cyclomatic Complexity After,Cyclomatic Complexity Change,Halstead Effort Before,Halstead Effort After,Halstead Effort Change,Halstead Difficulty Before,Halstead Difficulty After,Halstead Difficulty Change,Halstead Vocabulary Before,Halstead Vocabulary After,Halstead Vocabulary Change,Number of loops Before,Number of loops After,Number of loops Change,DIT Before,DIT After,DIT Change,LCOM Before,LCOM After,LCOM Change,CBO Before,CBO After,CBO Change,LOC Before,LOC After,LOC Change
Code 1,2.88,2.6,-9.718847622,17001.26,18243.4,7.306163937,17.81,17.68,-0.7298860255,32.83,33.17,1.035606591,0.12,0.1,-16.52892562,1,1,0,1.17,1.17,0,2,2,0,38.5,40.17,4.337549674
Code 2,2.74,2.66,-2.918642831,60182.07,56248.18,-6.536647767,25.02,24.22,-3.197314256,27.56,27.14,-1.523892457,0.22,0.21,-4.524886878,0.74,0.74,0,1.35,1.33,-1.4803849,7.81,7.55,-3.328639099,39.3,37.69,-4.096587873
Code 3,1.36,1.47,8.082292432,6056.26,13973.71,130.7316511,12.11,20.3,67.62447362,24.24,33.25,37.16843365,0.12,0.13,8.26446281,2.55,2.18,-14.50980392,1.64,2.04,24.37538087,5.8,7.21,24.30615411,35.16,55.83,58.78672393
Code 4,1.12,1.18,5.352363961,5390.61,6051.96,12.2685536,11.82,12.41,4.991117503,20.85,21.89,4.987770371,0.02,0.01,-47.61904762,1.44,1.43,-0.6944444444,1.81,1.79,-1.104362231,3.48,3.89,11.77822465,29.04,31.25,7.609930788
Code 5,1,1,0,176.83,358.41,102.6856151,3.97,4.9,23.4197935,8.83,9.35,5.888347865,0,0,0,1.42,1.82,28.16901408,1.17,1.06,-9.393680615,3.5,3.18,-9.140245644,8.58,9.71,13.16862836
Code 6,1,1,0,326.97,824.88,152.27956,4.88,8.15,66.99446835,12.5,12.2,-2.399808015,0,0,0,1,1.4,40,1.5,1.2,-19.98667555,1,3,199.8001998,11.5,12.6,9.564385706
Code 7,1.17,1,-14.5175064,702.65,866.82,23.36437292,6.62,8.27,24.92070684,17.33,13.8,-20.36812648,0.17,0,-99.41520468,1,1.4,40,1.33,1.2,-9.767092412,1.33,3,125.4695718,14.67,13.8,-5.930066117
