Code,Cyclomatic Complexity Before,Cyclomatic Complexity After,Cyclomatic Complexity Change,Halstead Effort Before,Halstead Effort After,Halstead Effort Change,Halstead Difficulty Before,Halstead Difficulty After,Halstead Difficulty Change,Halstead Vocabulary Before,Halstead Vocabulary After,Halstead Vocabulary Change,Number of loops Before,Number of loops After,Number of loops Change,DIT Before,DIT After,DIT Change,LCOM Before,LCOM After,LCOM Change,CBO Before,CBO After,CBO Change,LOC Before,LOC After,LOC Change
Code1,2.44,2.42,-0.8193363376,17781.93,19684.46,10.69923171,23.99,25.83,7.669542745,35.8,36.6,2.234574453,0.16,0.15,-6.211180124,0.6,0.6,0,1.4,1.6,14.27551749,3.6,3.6,0,58,59.4,2.413751487
Code2,1.5,1.57,4.663557628,1798,2554,42.04669519,7,9,28.56734752,21,25,19.04671206,0,0,0,0,0,0,1,2,99.9000999,0,0,0,39,49,25.6403682
Code3,1.41,1.46,3.543586109,2439.54,2692.29,10.36055553,7.17,8.15,13.66615535,13.96,15.36,10.02793496,0,0,0,0.08,0.08,0,1.52,1.52,0,3.12,3.12,0,21.4,22.6,5.607214616
Code4,1.68,1.69,0.5948839976,17749.56,17930.13,1.017320935,22,22.46,2.090814054,32.89,33.78,2.705907391,0.14,0.13,-7.092198582,0,0,0,2.22,2.44,9.905447996,4.67,4.67,0,60.89,62.78,3.103906981
Code5,1.69,1.56,-7.687758723,7153.61,7955.85,11.21447616,20.92,21.84,4.39749534,21.62,24.38,12.765367,0,0,0,0,0,0,1.75,2.38,35.97944032,2,2,0,34.25,41.38,20.81691046
Code6,1.95,1.59,-18.45207586,6577.57,6810.33,3.538692323,12.64,10.79,-14.63491812,20.2,19,-5.940299985,0.4,0.22,-44.88778055,0,0,0,0.8,1,24.96878901,1.8,1.8,0,51.6,45.4,-12.01527102
Code7,1.72,1.73,0.5810575247,10815.79,11815.57,9.243706725,11.87,12.9,8.676606857,40.2,41.4,2.985000373,0.23,0.22,-4.329004329,0,0,0,1.6,1.8,12.49219238,5.73,5.73,0,52.93,54.4,2.777200506
